curbcut	stopid
No	"12,296"
No	125
No	"2,253"
Yes	"6,114"
Yes	"6,112"
Yes	86
Yes	"11,108"
Yes	"14,902"
No	"1,077"
No	"13,795"
No	"17,724"
Yes	"14,881"
Yes	"19,542"
Yes	"17,740"
Yes	"17,787"
Yes	"17,797"
Yes	"1,065"
Yes	"17,801"
Yes	"17,627"
Yes	"17,646"
Yes	"1,120"
Yes	"18,172"
Yes	"18,174"
Yes	"18,176"
Yes	"18,177"
Yes	"1,127"
No	"1,222"
No	"1,224"
No	"1,079"
No	"16,420"
Yes	"16,421"
No	"14,788"
Yes	"1,090"
Yes	"1,092"
Yes	"17,148"
Yes	367
Yes	"17,154"
Yes	"11,334"
Yes	"6,463"
Yes	999
No	"1,018"
Yes	990
Yes	935
No	938
Yes	"15,210"
No	942
Yes	"17,177"
Yes	"17,195"
Yes	"5,305"
No	951
No	956
Yes	"17,163"
Yes	"5,144"
Yes	"17,169"
No	"15,419"
No	"1,293"
No	"1,294"
No	"9,368"
No	"8,970"
Yes	"5,607"
Yes	"5,608"
Yes	"9,362"
No	"21,201"
Yes	"20,792"
Yes	"20,795"
Yes	"20,790"
Yes	"20,799"
Yes	"20,734"
Yes	"20,828"
Yes	"20,818"
Yes	"20,681"
Yes	"20,745"
Yes	"20,754"
Yes	"20,758"
Yes	"20,764"
Yes	"20,846"
Yes	"20,625"
Yes	"20,635"
Yes	"20,663"
Yes	"6,237"
No	"20,550"
Yes	"20,856"
No	"18,967"
No	"18,969"
Yes	"20,998"
Yes	"21,008"
Yes	"21,018"
Yes	"15,392"
Yes	"20,708"
Yes	"20,713"
Yes	"20,714"
Yes	"20,719"
Yes	"20,736"
Yes	"20,739"
No	"20,407"
Yes	"12,300"
Yes	"23,584"
Yes	"23,591"
No	"23,644"
Yes	"23,669"
Yes	"23,912"
Yes	"23,922"
Yes	"23,924"
Yes	"23,600"
Yes	"23,602"
Yes	"23,606"
Yes	"23,534"
Yes	"23,649"
No	"23,650"
Yes	"21,669"
Yes	"20,470"
Yes	"20,478"
Yes	"20,489"
Yes	"20,496"
Yes	"20,443"
Yes	"20,446"
Yes	"20,452"
Yes	"20,454"
Yes	"20,440"
No	"14,864"
No	"15,301"
Yes	604
No	"20,929"
Yes	"20,954"
Yes	"20,915"
Yes	"20,866"
Yes	"20,877"
Yes	"20,882"
Yes	"20,884"
Yes	"20,896"
Yes	"21,245"
Yes	"20,603"
Yes	"12,302"
Yes	"20,597"
Yes	"20,575"
Yes	"21,626"
Yes	"23,695"
Yes	"22,517"
No	"9,383"
Yes	"9,365"
Yes	"19,124"
Yes	"21,357"
Yes	"21,364"
Yes	"22,118"
Yes	"22,119"
Yes	"21,371"
Yes	"21,380"
Yes	"21,399"
Yes	"21,400"
Yes	"21,404"
Yes	"21,407"
Yes	"21,408"
Yes	"21,417"
Yes	"21,419"
Yes	"21,451"
Yes	"21,477"
Yes	"21,483"
Yes	"21,484"
No	"21,270"
Yes	"20,553"
Yes	"22,087"
Yes	"22,089"
No	"22,094"
Yes	"22,097"
Yes	"22,107"
Yes	"21,280"
Yes	"21,290"
Yes	"21,292"
Yes	"21,296"
Yes	"21,300"
Yes	"21,309"
Yes	"21,314"
Yes	"14,956"
Yes	"14,961"
Yes	"21,332"
Yes	"21,336"
Yes	"21,339"
Yes	"19,075"
Yes	"19,079"
Yes	"20,517"
Yes	"20,518"
Yes	"20,523"
Yes	"20,529"
Yes	"9,292"
No	"3,873"
No	"3,838"
Yes	"6,249"
Yes	"6,248"
Yes	"20,960"
Yes	"1,007"
Yes	"21,953"
Yes	"21,529"
Yes	"21,774"
Yes	"21,777"
No	"21,799"
Yes	"21,982"
Yes	"21,992"
Yes	"21,996"
Yes	"22,000"
No	"22,004"
Yes	"22,012"
Yes	"22,018"
Yes	"22,024"
Yes	"22,029"
No	"22,031"
No	"22,035"
Yes	"22,036"
Yes	"21,499"
Yes	"21,812"
Yes	"21,814"
Yes	"21,816"
Yes	"21,828"
Yes	"21,837"
Yes	"21,844"
Yes	"21,848"
Yes	"21,849"
Yes	"21,853"
Yes	"21,862"
Yes	"21,513"
Yes	"21,518"
Yes	"21,893"
Yes	"21,899"
Yes	"21,902"
Yes	"21,904"
Yes	"21,913"
Yes	"21,932"
Yes	"21,934"
Yes	"22,043"
Yes	"22,052"
Yes	"22,073"
Yes	"22,128"
Yes	"22,224"
Yes	"22,240"
No	"21,571"
Yes	"21,575"
Yes	"21,578"
Yes	"21,581"
No	"21,602"
Yes	"21,605"
Yes	"21,606"
Yes	"22,263"
Yes	"22,264"
Yes	"22,265"
Yes	"22,278"
No	"22,279"
No	"22,284"
